city,year,expend,income,gdp,gap,gap_to_gdp
上海,2006,1795.57,1576.07,10825.4,219.5,0.020276387015722284
上海,2007,2181.68,2074.48,13179.8,107.19999999999982,0.00813365908435635
上海,2008,2593.92,2358.75,14877.1,235.17000000000007,0.015807516249806756
上海,2009,2989.65,2540.3,16181.4,449.3499999999999,0.027769537864461662
上海,2010,3302.89,2873.58,18319.6,429.30999999999995,0.023434463634577175
上海,2011,3914.88,3429.83,20406.1,485.0500000000002,0.023769853132151672
上海,2012,4184.02,3743.71,21774.9,440.3100000000004,0.02022098838571017
上海,2013,4528.61,4109.51,23809.4,419.09999999999945,0.01760229153191594
上海,2014,4923.44,4585.55,25964.5,337.8899999999994,0.013013537714956938
上海,2015,6191.56,5519.5,27821.6,672.0600000000004,0.02415605141329041
上海,2016,6918.94,6406.13,30963.9,512.8099999999995,0.01656154424991682
上海,2017,7547.62,6642.26,34378.3,905.3599999999997,0.026335217273687168
上海,2018,8351.54,7108.15,37769.1,1243.3900000000012,0.03292082681345336
上海,2019,8179.28,7165.1,40241.2,1014.1799999999994,0.02520252875162767
上海,2020,8102.11,7046.3,41603.9,1055.8099999999995,0.025377668920461772
上海,2021,8430.86,7771.8,47059.4,659.0600000000004,0.014004853440545362
上海,2022,9393.0,7608.0,48594.5,1785.0,0.03673255203778206
上海,2023,9638.51,8312.5,51404.5,1326.0100000000002,0.02579560155239328
上海,2024,9874.84,8374.17,53759.5,1500.67,0.027914508133446182
北京,2006,1296.84,1117.15,8618.9,179.68999999999983,0.020848368121221948
北京,2007,1649.5,1492.64,10730.4,156.8599999999999,0.01461828077238499
北京,2008,1959.29,1837.32,12167.6,121.97000000000003,0.0100241625299977
北京,2009,2319.37,2026.81,13335.7,292.55999999999995,0.021938105986187447
北京,2010,2717.32,2353.93,15420.2,363.3900000000003,0.023565842206975288
北京,2011,3245.23,3006.28,17653.3,238.94999999999982,0.01353571286954846
北京,2012,3685.31,3314.93,19568.3,370.3800000000001,0.0189275511924899
北京,2013,4173.66,3661.11,21746.0,512.5499999999997,0.023569851926791122
北京,2014,4524.67,4027.16,23577.5,497.5100000000002,0.021101049729615108
北京,2015,5737.7,4723.86,26034.1,1013.8400000000001,0.03894277121160325
北京,2016,6406.77,5081.26,28438.7,1325.5100000000002,0.04660937384620254
北京,2017,6824.53,5430.79,31325.9,1393.7399999999998,0.04449161875636453
北京,2018,7471.43,5785.92,35161.4,1685.5100000000002,0.04793637340947744
北京,2019,7408.19,5817.1,37767.0,1591.0899999999992,0.04212910742182326
北京,2020,7116.18,5483.89,38503.6,1632.29,0.042393178819642836
北京,2021,7205.12,5932.31,44350.7,1272.8099999999995,0.028698757855005662
北京,2022,7469.15,5714.36,45222.4,1754.79,0.03880355752901217
北京,2023,7971.25,6181.1,47353.7,1790.1499999999996,0.03780380413779704
北京,2024,8396.49,6372.68,49670.2,2023.8099999999995,0.040744953714702166
广州,2006,506.79,427.08,6073.83,79.71000000000004,0.013123515146126915
广州,2007,623.69,523.79,7109.18,99.90000000000009,0.014052253565108787
广州,2008,713.35,621.84,8215.82,91.50999999999999,0.01113826739144723
广州,2009,789.92,702.65,9138.0,87.26999999999998,0.009550229809586341
广州,2010,977.32,872.65,10748.3,104.67000000000007,0.009738284193779489
广州,2011,1181.25,979.48,12423.44,201.76999999999998,0.01624107332590651
广州,2012,1343.65,1102.4,13551.2,241.25,0.017802851407993387
广州,2013,1386.13,1141.8,15420.14,244.33000000000015,0.015844862627706374
广州,2014,1436.22,1243.1,16706.87,193.12000000000012,0.011559316616457788
广州,2015,1727.72,1349.47,18100.41,378.25,0.0208973166906164
广州,2016,1943.75,1393.64,19547.44,550.1099999999999,0.02814230405618331
广州,2017,2186.01,1536.74,21503.15,649.2700000000002,0.03019418085257277
广州,2018,2506.18,1634.22,22859.35,871.9599999999998,0.038144566665281376
广州,2019,2865.33,1699.04,23629.0,1166.29,0.04935841550636929
广州,2020,2952.65,1722.79,25019.0,1229.8600000000001,0.049157040649106684
广州,2021,3021.18,1884.26,28231.97,1136.9199999999998,0.04027065769763852
广州,2022,3022.45,1855.1,28839.0,1167.35,0.04047817191996948
广州,2023,2971.65,1945.06,30356.0,1026.5900000000001,0.033818355514560555
广州,2024,2782.5,1954.74,31032.5,827.76,0.026673970837025697
深圳,2006,571.42,500.88,5813.56,70.53999999999996,0.01213370120889781
深圳,2007,727.96,658.06,6801.57,69.90000000000009,0.010277038977765442
深圳,2008,889.86,800.36,7806.54,89.5,0.011464746225600586
深圳,2009,1000.84,880.82,8201.0,120.01999999999998,0.014634800634069014
深圳,2010,1265.27,1106.82,9581.5,158.45000000000005,0.0165370766581433
深圳,2011,1590.56,1339.57,11505.53,250.99,0.021814727352846848
深圳,2012,1565.71,1482.08,12950.1,83.63000000000011,0.0064578651902302
深圳,2013,1690.83,1731.26,14500.23,-40.430000000000064,-0.0027882316349464847
深圳,2014,2166.14,2082.44,16001.82,83.69999999999982,0.005230655012992261
深圳,2015,3521.67,2726.85,17502.86,794.8200000000002,0.04541086428160884
深圳,2016,4211.04,3136.49,19492.6,1074.5500000000002,0.05512604783353684
深圳,2017,4593.8,3332.13,22490.06,1261.67,0.05609900551621472
深圳,2018,4282.54,3538.41,24221.98,744.1300000000001,0.030721270515457453
深圳,2019,4552.73,3773.38,26927.0,779.3499999999995,0.028943068295762597
深圳,2020,4177.72,3857.39,27670.0,320.3300000000004,0.011576797976147466
深圳,2021,4570.22,4257.7,30664.85,312.52000000000044,0.010191473299233502
深圳,2022,4997.38,4012.44,32387.68,984.94,0.030410946384551163
深圳,2023,5012.07,4112.78,34606.0,899.29,0.025986534127029993
深圳,2024,4700.87,3914.18,36801.87,786.69,0.02137635940782357
